n,algorithm,time
1000,InsertionSort,0.02296733856201172
3000,InsertionSort,0.2373511791229248
5000,InsertionSort,0.5874085426330566
7000,InsertionSort,1.1262037754058838
9000,InsertionSort,1.9882140159606934
11000,InsertionSort,2.8452162742614746
13000,InsertionSort,3.756605625152588
15000,InsertionSort,5.376878499984741
17000,InsertionSort,6.925648927688599
19000,InsertionSort,8.787737607955933
20000,MergeSort,0.053510189056396484
20000,QuickSort,0.04037189483642578
40000,MergeSort,0.11355233192443848
40000,QuickSort,0.08123946189880371
60000,MergeSort,0.20120644569396973
60000,QuickSort,0.14107441902160645
80000,MergeSort,0.293811559677124
80000,QuickSort,0.27254509925842285
100000,MergeSort,0.4090282917022705
100000,QuickSort,0.31219005584716797
120000,MergeSort,0.47032666206359863
120000,QuickSort,0.31635093688964844
140000,MergeSort,0.4949486255645752
140000,QuickSort,0.3809013366699219
160000,MergeSort,0.5480725765228271
160000,QuickSort,0.34235095977783203
180000,MergeSort,0.6274173259735107
180000,QuickSort,0.45219922065734863
200000,MergeSort,0.7005007266998291
200000,QuickSort,0.5649003982543945
